#TYPE System.String
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","ReadCount","Length"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","136","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","137","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","138","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","139","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","140","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","141","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","142","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","143","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","144","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","145","169"
"C:\Users\Badger\Desktop\Rainbow Dragon\IT_user.txt","C:\Users\Badger\Desktop\Rainbow Dragon","IT_user.txt","C","Microsoft.PowerShell.Core\FileSystem","146","169"
